metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
php_fpm.listen_queue.size,gauge,,,,Size of the socket queue of pending connections,0,php_fpm,listen queue size
php_fpm.processes.active,gauge,,process,, Total number of active processes,0,php_fpm, active processes
php_fpm.processes.idle,gauge,,process,,Total number of idle processes,0,php_fpm, idle processes
php_fpm.processes.total,gauge,,process,, Total number of processes,0,php_fpm, total processes
php_fpm.processes.max_reached,gauge,,process,, The number of times the process limit has been reached,0,php_fpm, process limit reached
php_fpm.requests.accepted,gauge,,request,, Total number of accepted requests,0,php_fpm, accepted requests
php_fpm.requests.slow,gauge,,request,, Total number of sloq requests,0,php_fpm, sloq requests
