metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
system.swap.swapped_in,gauge,,byte,,Bytes of memory swapped in,-1,system_swap,swap in
system.swap.swapped_out,gauge,,byte,,Bytes of memory swapped out,-1,system_swap,swap out
